code,name,category,department,price_php,price_band,colors,attributes,flag,page
FIR-001-37,KEY BOX,Fire Safety Equipment,Fire Safety,220,budget,,{},,6
FIR-001-38,Glass Breaker,Fire Safety Equipment,Fire Safety,340,budget,,{},,6
FIR-001-42,Smoke Detector NEW,Fire Safety Equipment,Fire Safety,870,standard,,{},,6
FIR-001-43,Standard Smoke Detector,Fire Safety Equipment,Fire Safety,910,standard,,{},,6
FIR-001-44,wired interlinked standalone smoke detector with 220V AC + 9V,Fire Safety Equipment,Fire Safety,910,standard,,{},,6
FIR-001-45,Rope Ladder 10M,Fire Safety Equipment,Fire Safety,2890,mid-range,,{},,6
FIR-001-01,Fire Boots,Fire Safety Equipment,Fire Safety,2820,mid-range,,{},,5
FIR-001-02,Fire Gloves,Fire Safety Equipment,Fire Safety,2770,mid-range,,{},,5
FIR-001-03,Fire Gloves Yellow,Fire Safety Equipment,Fire Safety,3350,mid-range,Yellow,{},,5
FIR-001-04,Fire Helmet,Fire Safety Equipment,Fire Safety,3710,mid-range,,{},,5
FIR-001-05,Fire Suit,Fire Safety Equipment,Fire Safety,11910,premium,,{},,5
FIR-001-08A,Silicone Mask Single,Fire Safety Equipment,Fire Safety,5160,mid-range,,{},,5
FIR-001-08B,Silicone Mask Double,Fire Safety Equipment,Fire Safety,7010,mid-range,,{},,5
FIR-001-10A,Oxygen Tank Single,Fire Safety Equipment,Fire Safety,54260,capital equipment,,{},,5
FIR-001-10B,Oxygen Tank Double,Fire Safety Equipment,Fire Safety,63280,capital equipment,,{},,5
FIR-001-3LBS,Fire Extinguisher DRY Chemical,Fire Safety Equipment,Fire Safety,1570,standard,,{},,6
FIR-001-5LBS,Fire Extinguisher DRY Chemical,Fire Safety Equipment,Fire Safety,2060,mid-range,,{},,6
FIR-001-10LBS,Fire Extinguisher DRY Chemical,Fire Safety Equipment,Fire Safety,2420,mid-range,,{},,5
FIR-001-15LBS,Fire Extinguisher DRY Chemical,Fire Safety Equipment,Fire Safety,3630,mid-range,,{},,5
FIR-001-20LBS,Fire Extinguisher DRY Chemical,Fire Safety Equipment,Fire Safety,4350,mid-range,,{},,5
FIR-001-50LBS,Fire Extinguisher DRY Chemical,Fire Safety Equipment,Fire Safety,8460,mid-range,,{},,6
FIR-001-100LBS,Fire Extinguisher DRY Chemical,Fire Safety Equipment,Fire Safety,24150,premium,,{},,5
FIR-001-200LBS,Fire Extinguisher DRY Chemical,Fire Safety Equipment,Fire Safety,48300,premium,,{},,5
FIR-001-HCFC10LBS,Fire Extinguisher Hcfc (ceiling),Fire Safety Equipment,Fire Safety,8460,mid-range,,{},,6
FIR-001-HCFC20LBS,Fire Extinguisher Hcfc (ceiling),Fire Safety Equipment,Fire Safety,19320,premium,,{},,6
FAC-001-01,Facial Mask Yellow,Face & Welding Protection,PPE,460,budget,Yellow,{},,19
FAC-001-02,Welding Mask,Face & Welding Protection,PPE,340,budget,,{},,19
FAC-001-04,Handheld Welding Mask,Face & Welding Protection,PPE,160,budget,,{},,19
FAC-001-05,Facial Mask FOR Helmet Clear,Face & Welding Protection,PPE,280,budget,Clear,{},,19
FAC-001-06,Facial Mask FOR Helmet Black,Face & Welding Protection,PPE,340,budget,Black,{},,19
FAC-001-07,Automatic Welding Mask,Face & Welding Protection,PPE,3260,mid-range,,{},,19
FAC-001-08,N95 Mask White With Filter,Face & Welding Protection,PPE,50,budget,White,{},,19
FAC-001-09,N95 Mask White Without Filter,Face & Welding Protection,PPE,50,budget,White,{},,19
FAC-001-10,N95 Mask Grey With Filter,Face & Welding Protection,PPE,50,budget,Grey,{},,19
FAC-001-11,N95 Mask Grey Without Filter,Face & Welding Protection,PPE,50,budget,Grey,{},,19
FAC-001-19,NP 305,Face & Welding Protection,PPE,140,budget,,{},,19
FAC-001-20,NP 306,Face & Welding Protection,PPE,190,budget,,{},,19
FAC-001-21,RC 203,Face & Welding Protection,PPE,50,budget,,{},,19
FAC-001-22,Cotton Mask (10PCS/PACK),Face & Welding Protection,PPE,280,budget,Black; White,"{""pack_quantity"": ""10 pcs per pack"", ""material"": ""Cotton""}",,19
FAC-001-24,Clear Plastic Mask,Face & Welding Protection,PPE,50,budget,Clear,"{""material"": ""Plastic""}",,19
FAC-001-25,Hair NET,Face & Welding Protection,PPE,10,budget,Black; White; Pink; Yellow,{},,19
FAC-001-27,Dust Mask Type,Face & Welding Protection,PPE,30,budget,,{},,19
FAC-001-28,Dust Mask Refill,Face & Welding Protection,PPE,30,budget,,{},,19
FAC-001-29,ORD Faceshield,Face & Welding Protection,PPE,230,budget,,{},,19
FAC-001-30,GM305 Industrial Mask,Face & Welding Protection,PPE,280,budget,,{},,19
FAC-001-31,GM306 Industrial Mask,Face & Welding Protection,PPE,340,budget,,{},,19
FAC-001-32,2GM-2 Resipirator Mask With Goggle,Face & Welding Protection,PPE,370,budget,,{},,19
FAC-001-33,2GM-22 Resipirator Mask With Goggle,Face & Welding Protection,PPE,460,budget,,{},,19
FAC-001-34,P1 Dust Mask,Face & Welding Protection,PPE,70,budget,,{},,19
FAC-001-35,NEW Welding Mask,Face & Welding Protection,PPE,510,standard,,{},,19
FAC-001-36,Active Shield,Face & Welding Protection,PPE,280,budget,,{},,19
FAC-001-37,Facial FOR Helmet Black,Face & Welding Protection,PPE,510,standard,Black,{},,19
FAC-001-38,FACIAL FOR HELMET (auto dimming),Face & Welding Protection,PPE,1180,standard,,{},,19
FAC-001-39,Facial FOR Helmet,Face & Welding Protection,PPE,690,standard,,{},,19
EAR-001-01,Earplug,Hearing Protection,PPE,50,budget,,{},,21
EAR-001-01B,Earplug Plastic,Hearing Protection,PPE,50,budget,,"{""material"": ""Plastic""}",,21
EAR-001-02,Ordinary Earmuff,Hearing Protection,PPE,140,budget,,{},,21
EAR-001-03,Earmuff HD,Hearing Protection,PPE,510,standard,,{},,21
EAR-001-04,3M Earmuff,Hearing Protection,PPE,460,budget,,{},,21
EAR-001-05,Earmuff CQL,Hearing Protection,PPE,510,standard,,{},,21
EAR-001-06,Earmuff FOR Helmet,Hearing Protection,PPE,640,standard,,{},,21
SAF-002-01,YDS High Cut,Safety Shoes,Footwear,1250,standard,,"{""cut"": ""high cut""}",duplicate_code_identical,6
SAF-002-02,YDS Low Cut,Safety Shoes,Footwear,1180,standard,,"{""cut"": ""low cut""}",duplicate_code_identical,6
SAF-002-07,MG High Cut,Safety Shoes,Footwear,1330,standard,,"{""cut"": ""high cut""}",duplicate_code_identical,7
SAF-002-08,MG Low Cut,Safety Shoes,Footwear,1290,standard,,"{""cut"": ""low cut""}",duplicate_code_identical,7
SAF-002-24,Camel HC,Safety Shoes,Footwear,1540,standard,,"{""cut"": ""high cut""}",,7
SAF-002-30,Safety BOY Rubber Sole 1945,Safety Shoes,Footwear,1540,standard,,"{""material"": ""Rubber""}",,7
SAF-002-31,Safety BOY PU Sole 1943,Safety Shoes,Footwear,1540,standard,,{},,7
SAF-002-32,Super Gwapo Rubber Sole,Safety Shoes,Footwear,1540,standard,,"{""material"": ""Rubber""}",,7
SAF-002-35,Safety BOY LC YL1950,Safety Shoes,Footwear,1990,standard,,"{""cut"": ""low cut""}",,7
SAF-002-36,"Safety BOY ""black""",Safety Shoes,Footwear,2180,mid-range,Black,{},duplicate_code_identical,7
SAF-002-37,"Safety BOY ""brown""",Safety Shoes,Footwear,2180,mid-range,Brown,{},duplicate_code_identical,7
SAF-002-39,R Power LC,Safety Shoes,Footwear,1990,standard,,"{""cut"": ""low cut""}",,7
SAF-002-40,R Power HC,Safety Shoes,Footwear,2180,mid-range,,"{""cut"": ""high cut""}",,7
PPE-018-01,Rain Boots,Work Boots,Footwear,340,budget,,{},,7
PPE-018-03,Steel Boots (WITH OSHC),Work Boots,Footwear,730,standard,,"{""oshc_certified"": true, ""material"": ""Steel"", ""cut"": ""high cut""}",,7
PPE-018-05,Jumper Boots,Work Boots,Footwear,1210,standard,,{},,7
PPE-018-08,Camel Boots,Work Boots,Footwear,510,standard,,{},,7
PPE-018-10,Camel White Boots,Work Boots,Footwear,540,standard,White,{},,7
BOD-002-01A,Welding Apron Leather,Welding Aprons & Body Protection,PPE,700,standard,,"{""material"": ""Leather""}",,23
BOD-002-01B,Welding Apron W/SLEEVE,Welding Aprons & Body Protection,PPE,830,standard,,{},,23
BOD-002-02,Welding Apron Leather Pants,Welding Aprons & Body Protection,PPE,1180,standard,,"{""material"": ""Leather""}",,23
BOD-002-03A,Maong Apron With Sleeve,Welding Aprons & Body Protection,PPE,280,budget,,{},,23
BOD-002-03B,Maong Apron Without Sleeve,Welding Aprons & Body Protection,PPE,140,budget,,{},,23
BOD-002-04A,Over ALL Suit S TO 3XL Navy Blue,Welding Aprons & Body Protection,PPE,1180,standard,Navy Blue,{},,23
BOD-002-04B,Over ALL Suit S TO 3XL Orange,Welding Aprons & Body Protection,PPE,1180,standard,Orange,{},,23
BOD-002-05,Chemical Suit,Welding Aprons & Body Protection,PPE,460,budget,,{},,23
SPO-001-01,Sanda Uniform (Men),Sports & Martial Arts Equipment,Sports,6150,mid-range,,{},,24
SPO-001-02,Sanda Uniform (Women),Sports & Martial Arts Equipment,Sports,6150,mid-range,,{},,24
SPO-001-03,Sanda Chest Protector,Sports & Martial Arts Equipment,Sports,9270,mid-range,,{},,24
SPO-001-04,Sanda Gloves,Sports & Martial Arts Equipment,Sports,8230,mid-range,,{},,24
SPO-001-05,Sanda Headguard,Sports & Martial Arts Equipment,Sports,6060,mid-range,,{},,24
SPO-001-06,Shin & Instep Protector,Sports & Martial Arts Equipment,Sports,5370,mid-range,,{},,24
SPO-001-07,"Focus Mitts (Punch Pad) - Thai Style, Curved",Sports & Martial Arts Equipment,Sports,3120,mid-range,,{},,24
SPO-001-08,Kick Pad,Sports & Martial Arts Equipment,Sports,4510,mid-range,,{},,24
SPO-001-09,Weightlifting Rubber Mat (48x12inches),Sports & Martial Arts Equipment,Sports,4360,mid-range,,"{""size"": ""48X12IN"", ""material"": ""Rubber""}",,24
SPO-001-10,competition weightlifting platform,Sports & Martial Arts Equipment,Sports,282900,capital equipment,,{},,24
SPO-001-11,competition weightlifting platform with logo,Sports & Martial Arts Equipment,Sports,288340,capital equipment,,{},,24
SPO-001-12,Customized Weightlifting Bar,Sports & Martial Arts Equipment,Sports,24900,premium,,{},,24
SPO-001-13,Customized 2.5 kg plate,Sports & Martial Arts Equipment,Sports,1890,standard,,"{""weight"": ""2.5 kg""}",,24
SPO-001-14,Customized 5 kg plate,Sports & Martial Arts Equipment,Sports,3210,mid-range,,"{""weight"": ""5 kg""}",,24
SPO-001-15,Customized 10 kg plate,Sports & Martial Arts Equipment,Sports,7940,mid-range,,"{""weight"": ""10 kg""}",,24
SPO-001-16,Customized 15 kg plate,Sports & Martial Arts Equipment,Sports,9310,mid-range,,"{""weight"": ""15 kg""}",,24
SPO-001-17,Customized 20 kg plate,Sports & Martial Arts Equipment,Sports,10600,premium,,"{""weight"": ""20 kg""}",,24
SPO-001-18,Customized 25 kg plate,Sports & Martial Arts Equipment,Sports,12010,premium,,"{""weight"": ""25 kg""}",,24
SPO-001-19,5-15 lbs TPE Resistance Band,Sports & Martial Arts Equipment,Sports,80,budget,,"{""weight"": ""15 lbs""}",,24
SPO-001-20,15-35 lbs TPE Resistance Band,Sports & Martial Arts Equipment,Sports,170,budget,,"{""weight"": ""35 lbs""}",,24
SPO-001-21,25-65 lbs TPE Resistance Band,Sports & Martial Arts Equipment,Sports,320,budget,,"{""weight"": ""65 lbs""}",,24
SPO-001-22,40-90 lbs TPE Resistance Band,Sports & Martial Arts Equipment,Sports,440,budget,,"{""weight"": ""90 lbs""}",,24
SPO-001-23,20-125 lbs TPE Resistance Band,Sports & Martial Arts Equipment,Sports,650,standard,,"{""weight"": ""125 lbs""}",,25
SPO-001-24,65-175 lbs TPE Resistance Band,Sports & Martial Arts Equipment,Sports,860,standard,,"{""weight"": ""175 lbs""}",,25
SPO-001-25,85-230 lbs TPE Resistance Band,Sports & Martial Arts Equipment,Sports,1110,standard,,"{""weight"": ""230 lbs""}",,25
SPO-001-26,Latex Resistance Band Set,Sports & Martial Arts Equipment,Sports,1780,standard,,{},,25
SPO-001-27,Customized Wrestling Mat,Sports & Martial Arts Equipment,Sports,885830,capital equipment,,{},,25
SPO-001-28,CP2 Sprint Health Spike Shoes,Sports & Martial Arts Equipment,Sports,8860,mid-range,,{},,25
SPO-001-29,CP3 Distance Health Spike Shoes,Sports & Martial Arts Equipment,Sports,9750,mid-range,,{},,25
SPO-001-30,CPL Horizontal Jumps Health Spike Shoes,Sports & Martial Arts Equipment,Sports,8860,mid-range,,{},,25
SPO-001-31,KM2 Health Race Walk Shoes,Sports & Martial Arts Equipment,Sports,7410,mid-range,,{},,25
SPO-001-32,Wesing Boxing Training Gloves 10oz,Sports & Martial Arts Equipment,Sports,5800,mid-range,,{},,25
SPO-001-33,Wesing Boxing Training Gloves 12oz,Sports & Martial Arts Equipment,Sports,5800,mid-range,,{},,25
SPO-001-34,Wesing Boxing Training Gloves 14oz,Sports & Martial Arts Equipment,Sports,5800,mid-range,,{},,25
SPO-001-35,Wesing Competition Wrestling Shoes,Sports & Martial Arts Equipment,Sports,9020,mid-range,,{},,25
SPO-001-36,Wesing Competition Boxing Shoes,Sports & Martial Arts Equipment,Sports,9020,mid-range,,{},,25
SPO-001-37,Wesing Wrestling Singlet,Sports & Martial Arts Equipment,Sports,4830,mid-range,,{},,25
SAF-001-01,TEL Vest,Safety & Reflective Vests,PPE,170,budget,,{},,21
SAF-001-02,Button Vest,Safety & Reflective Vests,PPE,180,budget,,{},,21
SAF-001-03,Skeleton HD,Safety & Reflective Vests,PPE,180,budget,,{},,21
SAF-001-04,Skeleton ORD,Safety & Reflective Vests,PPE,130,budget,,{},,21
SAF-001-05,Panda Black Edge X Type HD,Safety & Reflective Vests,PPE,170,budget,Black,{},,21
SAF-001-06,Panda Original Edge H Type HD,Safety & Reflective Vests,PPE,170,budget,,{},,21
SAF-001-07,Panda #311 X Type HD,Safety & Reflective Vests,PPE,180,budget,,{},,21
SAF-001-08,Panda #311 H Type HD,Safety & Reflective Vests,PPE,180,budget,,{},,21
SAF-001-09,Panda NET Black Edge Vest,Safety & Reflective Vests,PPE,140,budget,Black,{},,21
SAF-001-10,Panda NET Original Edge Vest,Safety & Reflective Vests,PPE,140,budget,,{},,21
SAF-001-11,Panda NET Grey Reflector Vest,Safety & Reflective Vests,PPE,130,budget,Grey,{},,21
SAF-001-12,Ord. Vest,Safety & Reflective Vests,PPE,80,budget,,{},,21
SAF-001-13,Ord. Vest X Type,Safety & Reflective Vests,PPE,130,budget,,{},,21
SAF-001-15,309 Vest Series,Safety & Reflective Vests,PPE,130,budget,,{},,21
SAF-001-16,V Type Vest,Safety & Reflective Vests,PPE,140,budget,,{},,21
SAF-001-17,Motor Vest,Safety & Reflective Vests,PPE,140,budget,,{},,21
SAF-001-18,"Adj.vest 2"" HD",Safety & Reflective Vests,PPE,230,budget,,{},,21
SAF-001-19,"Adj.vest 1"" HD",Safety & Reflective Vests,PPE,180,budget,,{},,21
SAF-001-20,Garter Vest,Safety & Reflective Vests,PPE,140,budget,,{},,21
SAF-001-21,Reflector Belt,Safety & Reflective Vests,PPE,100,budget,,{},,21
SAF-001-22,Garter Belt,Safety & Reflective Vests,PPE,100,budget,,{},,21
SAF-001-23,Security NET Vest,Safety & Reflective Vests,PPE,230,budget,,{},,21
SAF-001-24,Traffic NET Vest,Safety & Reflective Vests,PPE,230,budget,,{},,21
SAF-001-25,Security Strap Vest,Safety & Reflective Vests,PPE,230,budget,,{},,22
SAF-001-26,Traffic Strap Vest,Safety & Reflective Vests,PPE,230,budget,,{},,22
SAF-001-27,Security NET Plain Vest,Safety & Reflective Vests,PPE,230,budget,,{},,22
SAF-001-28,Security Strap Plain Vest,Safety & Reflective Vests,PPE,230,budget,,{},,22
SAF-001-29,Pulis Vest,Safety & Reflective Vests,PPE,340,budget,,{},,22
SAF-001-31,Anda Vest,Safety & Reflective Vests,PPE,180,budget,,{},,22
SAF-001-32,Strap ID Vest,Safety & Reflective Vests,PPE,180,budget,,{},,22
SAF-001-34,Shoulder Vest,Safety & Reflective Vests,PPE,100,budget,,{},,22
SAF-001-35,Airport Vest,Safety & Reflective Vests,PPE,230,budget,,{},,22
SAF-001-36,"Vest 4"" HD",Safety & Reflective Vests,PPE,180,budget,,{},,22
SAF-001-37,7 CM Vest,Safety & Reflective Vests,PPE,180,budget,,{},,22
SAF-001-38,Long Sleeve Plain,Safety & Reflective Vests,PPE,140,budget,,{},,22
SAF-001-39,Long Sleeve With Reflector,Safety & Reflective Vests,PPE,280,budget,,{},,22
SAF-001-40,"Vest 3"" HD",Safety & Reflective Vests,PPE,180,budget,,{},,22
SAF-001-41,Motor Vest With ID,Safety & Reflective Vests,PPE,140,budget,,{},,22
SAF-001-42,Panda NET H Type,Safety & Reflective Vests,PPE,130,budget,,{},,22
SAF-001-43,Panda Vest With Pocket ID,Safety & Reflective Vests,PPE,280,budget,,{},,22
SAF-001-44,ORD Vest H Type,Safety & Reflective Vests,PPE,130,budget,,{},,22
SAF-001-45,Vest RT-16,Safety & Reflective Vests,PPE,280,budget,,{},,22
SAF-001-47,NEW Style TEL Vest,Safety & Reflective Vests,PPE,170,budget,,{},,22
SAF-001-48,Arrow TEL Vest,Safety & Reflective Vests,PPE,230,budget,,{},,22
SAF-001-49,Panda HD 5*2 CM,Safety & Reflective Vests,PPE,280,budget,,{},,22
SAF-001-50,TEL Vest 5*2CM,Safety & Reflective Vests,PPE,180,budget,,{},,22
SAF-001-51,Makrear Short Sleeve Polo Shirt S TO XL,Safety & Reflective Vests,PPE,1860,standard,,{},,22
SAF-001-52,Makrear Long Sleeve Polo Shirt S TO XL,Safety & Reflective Vests,PPE,2180,mid-range,,{},,22
SAF-001-53,Sweater With Reflector,Safety & Reflective Vests,PPE,2740,mid-range,,{},,22
SAF-001-54,Long Sleeve With 10CM*5CM Reflector,Safety & Reflective Vests,PPE,410,budget,,{},,22
SAF-001-55,Short Sleeve With 10CM*5CM Reflector,Safety & Reflective Vests,PPE,340,budget,,{},,22
SAF-001-56,3M TEL Vest,Safety & Reflective Vests,PPE,340,budget,,{},,22
SAF-001-57,NEW Zipper Vest,Safety & Reflective Vests,PPE,280,budget,,{},,22
FIR-002-1LB-DC,Fire Extinguisher DRY Chemical 1LB (wall Type) + Free Wall Bracket,Fire Extinguishers,Fire Safety,1070,standard,,"{""weight"": ""1 lb"", ""bundled_item"": ""Wall Bracket""}",,4
FIR-002-2LBS-DC,Fire Extinguisher DRY Chemical 2LBS (wall Type) + Free Wall Bracket,Fire Extinguishers,Fire Safety,1080,standard,,"{""weight"": ""2 lbs"", ""bundled_item"": ""Wall Bracket""}",,4
FIR-002-3LBS-DC,Fire Extinguisher DRY Chemical 3LBS (wall Type) + Free Wall Bracket,Fire Extinguishers,Fire Safety,1100,standard,,"{""weight"": ""3 lbs"", ""bundled_item"": ""Wall Bracket""}",,5
FIR-002-5LBS-DC,Fire Extinguisher DRY Chemical 5LBS (wall Type) + Free Wall Bracket,Fire Extinguishers,Fire Safety,1130,standard,,"{""weight"": ""5 lbs"", ""bundled_item"": ""Wall Bracket""}",,5
FIR-002-10LBS-DC,Fire Extinguisher DRY Chemical 10LBS (wall Type) + Free Wall Hook,Fire Extinguishers,Fire Safety,1450,standard,,"{""weight"": ""10 lbs"", ""bundled_item"": ""Wall Hook""}",,4
FIR-002-20LBS-DC,Fire Extinguisher DRY Chemical 20LBS (wall Type) + Free Wall Hook,Fire Extinguishers,Fire Safety,2420,mid-range,,"{""weight"": ""20 lbs"", ""bundled_item"": ""Wall Hook""}",,4
FIR-002-50LBS-DC,Fire Extinguisher DRY Chemical 50LBS (wheeled Type),Fire Extinguishers,Fire Safety,8860,mid-range,,"{""weight"": ""50 lbs""}",,5
FIR-002-100LBS-DC,Fire Extinguisher DRY Chemical 100LBS (wheeled Type),Fire Extinguishers,Fire Safety,16910,premium,,"{""weight"": ""100 lbs""}",,4
FIR-002-200LBS-DC,Fire Extinguisher DRY Chemical 200LBS (wheeled Type),Fire Extinguishers,Fire Safety,32200,premium,,"{""weight"": ""200 lbs""}",,4
FIR-002-3LBS-AFFF,Fire Extinguisher Afff Chemical 3LBS (wall Type) + Free Wall Bracket,Fire Extinguishers,Fire Safety,1100,standard,,"{""weight"": ""3 lbs"", ""bundled_item"": ""Wall Bracket""}",,5
FIR-002-5LBS-AFFF,Fire Extinguisher Afff Chemical 5LBS (wall Type) + Free Wall Bracket,Fire Extinguishers,Fire Safety,1130,standard,,"{""weight"": ""5 lbs"", ""bundled_item"": ""Wall Bracket""}",,5
FIR-002-10LBS-AFFF,Fire Extinguisher Afff Chemical 10LBS (wall Type) + Free Wall Hook,Fire Extinguishers,Fire Safety,1450,standard,,"{""weight"": ""10 lbs"", ""bundled_item"": ""Wall Hook""}",,4
FIR-002-20LBS-AFFF,Fire Extinguisher Afff Chemical 20LBS (wall Type) + Free Wall Hook,Fire Extinguishers,Fire Safety,2420,mid-range,,"{""weight"": ""20 lbs"", ""bundled_item"": ""Wall Hook""}",,4
FIR-002-50LBS-AFFF,Fire Extinguisher Afff Chemical 50LBS (wheeled Type),Fire Extinguishers,Fire Safety,8860,mid-range,,"{""weight"": ""50 lbs""}",duplicate_code_conflict,5
FIR-002-100LBS-AFFF,Fire Extinguisher Afff Chemical 100LBS (wheeled Type),Fire Extinguishers,Fire Safety,16910,premium,,"{""weight"": ""100 lbs""}",,4
FIR-002-200LBS-AFFF,Fire Extinguisher Afff Chemical 200LBS (wheeled Type),Fire Extinguishers,Fire Safety,32200,premium,,"{""weight"": ""200 lbs""}",,4
FIR-002-5LBS-HCFC,Fire Extinguisher Hcfc Chemical 5LBS (wall Type) + Free Wall Bracket,Fire Extinguishers,Fire Safety,2900,mid-range,,"{""weight"": ""5 lbs"", ""bundled_item"": ""Wall Bracket""}",,5
FIR-002-10LBS-HCFC,Fire Extinguisher Hcfc Chemical 10LBS (wall Type) + Free Wall Hook,Fire Extinguishers,Fire Safety,4830,mid-range,,"{""weight"": ""10 lbs"", ""bundled_item"": ""Wall Hook""}",,4
FIR-002-20LBS-HCFC,Fire Extinguisher Hcfc Chemical 20LBS (wall Type) + Free Wall Hook,Fire Extinguishers,Fire Safety,8860,mid-range,,"{""weight"": ""20 lbs"", ""bundled_item"": ""Wall Hook""}",,4
